Model,MDO32
Firmware Version,1.12.15

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-08
Horizontal Delay,2.71292e-07
Sample Interval,8e-10
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,2.76
,
,
,
Label,
TIME,CH1
4.745e-07,-0.128
4.753e-07,-0.12
4.761e-07,-0.112
4.769e-07,-0.104
4.777e-07,-0.096
4.785e-07,-0.088
4.793e-07,-0.08
4.801e-07,-0.072
4.809e-07,-0.064
4.817e-07,-0.072
4.825e-07,-0.08
4.833e-07,-0.08
4.841e-07,-0.08
4.849e-07,-0.088
4.857e-07,-0.096
4.865e-07,-0.096
4.873e-07,-0.088
4.881e-07,-0.088
4.889e-07,-0.088
4.897e-07,-0.096
4.905e-07,-0.088
4.913e-07,-0.08
4.921e-07,-0.064
4.929e-07,-0.064
4.937e-07,-0.064
4.945e-07,-0.064
4.953e-07,-0.064
4.961e-07,-0.064
4.969e-07,-0.072
4.977e-07,-0.072
4.985e-07,-0.08
4.993e-07,-0.08
5.001e-07,-0.08
5.009e-07,-0.096
5.017e-07,-0.112
5.025e-07,-0.12
5.033e-07,-0.12
5.041e-07,-0.096
5.049e-07,-0.08
5.057e-07,-0.064
5.065e-07,-0.048
5.073e-07,-0.048
5.081e-07,-0.048
5.089e-07,-0.056
5.097e-07,-0.064
5.105e-07,-0.088
5.113e-07,-0.088
5.121e-07,-0.088
5.129e-07,-0.072
5.137e-07,-0.064
5.145e-07,-0.064
5.153e-07,-0.064
5.161e-07,-0.056
5.169e-07,-0.056
5.177e-07,-0.056
5.185e-07,-0.056
5.193e-07,-0.072
5.201e-07,-0.072
5.209e-07,-0.072
5.217e-07,-0.064
5.225e-07,-0.048
5.233e-07,-0.048
5.241e-07,-0.048
5.249e-07,-0.056
5.257e-07,-0.064
5.265e-07,-0.064
5.273e-07,-0.072
5.281e-07,-0.056
5.289e-07,-0.048
5.297e-07,-0.04
5.305e-07,-0.048
5.313e-07,-0.056
5.321e-07,-0.056
5.329e-07,-0.064
5.337e-07,-0.064
5.345e-07,-0.064
5.353e-07,-0.056
5.361e-07,-0.064
5.369e-07,-0.056
5.377e-07,-0.04
5.385e-07,-0.048
5.393e-07,-0.048
5.401e-07,-0.056
5.409e-07,-0.048
5.417e-07,-0.04
5.425e-07,-0.056
5.433e-07,-0.056
5.441e-07,-0.056
5.449e-07,-0.072
5.457e-07,-0.064
5.465e-07,-0.064
5.473e-07,-0.048
5.481e-07,-0.048
5.489e-07,-0.04
5.497e-07,-0.048
5.505e-07,-0.048
5.513e-07,-0.064
5.521e-07,-0.072
5.529e-07,-0.072
5.537e-07,-0.072
5.545e-07,-0.08
5.553e-07,-0.072
5.561e-07,-0.072
5.569e-07,-0.072
5.577e-07,-0.072
5.585e-07,-0.064
5.593e-07,-0.064
5.601e-07,-0.056
5.609e-07,-0.056
5.617e-07,-0.056
5.625e-07,-0.048
5.633e-07,-0.048
5.641e-07,-0.048
5.649e-07,-0.048
5.657e-07,-0.056
5.665e-07,-0.056
5.673e-07,-0.056
5.681e-07,-0.056
5.689e-07,-0.056
5.697e-07,-0.056
5.705e-07,-0.048
5.713e-07,-0.048
5.721e-07,-0.048
5.729e-07,-0.048
5.737e-07,-0.048
5.745e-07,-0.04
5.753e-07,-0.04
5.761e-07,-0.04
5.769e-07,-0.024
5.777e-07,-0.016
5.785e-07,-0.016
5.793e-07,-0.024
5.801e-07,-0.04
5.809e-07,-0.056
5.817e-07,-0.072
5.825e-07,-0.072
5.833e-07,-0.072
5.841e-07,-0.056
5.849e-07,-0.048
5.857e-07,-0.048
5.865e-07,-0.04
5.873e-07,-0.048
5.881e-07,-0.056
5.889e-07,-0.064
5.897e-07,-0.072
5.905e-07,-0.072
5.913e-07,-0.064
5.921e-07,-0.056
5.929e-07,-0.04
5.937e-07,-0.032
5.945e-07,-0.032
5.953e-07,-0.024
5.961e-07,-0.04
5.969e-07,-0.04
5.977e-07,-0.048
5.985e-07,-0.048
5.993e-07,-0.04
6.001e-07,-0.04
6.009e-07,-0.04
6.017e-07,-0.024
6.025e-07,-0.032
6.033e-07,-0.032
6.041e-07,-0.04
6.049e-07,-0.048
6.057e-07,-0.048
6.065e-07,-0.048
6.073e-07,-0.048
6.081e-07,-0.04
6.089e-07,-0.04
6.097e-07,-0.032
6.105e-07,-0.024
6.113e-07,-0.032
6.121e-07,-0.024
6.129e-07,-0.024
6.137e-07,-0.04
6.145e-07,-0.04
6.153e-07,-0.032
6.161e-07,-0.04
6.169e-07,-0.04
6.177e-07,-0.04
6.185e-07,-0.048
6.193e-07,-0.04
6.201e-07,-0.04
6.209e-07,-0.04
6.217e-07,-0.04
6.225e-07,-0.04
6.233e-07,-0.032
6.241e-07,-0.04
6.249e-07,-0.04
6.257e-07,-0.04
6.265e-07,-0.048
6.273e-07,-0.048
6.281e-07,-0.048
6.289e-07,-0.048
6.297e-07,-0.048
6.305e-07,-0.048
6.313e-07,-0.048
6.321e-07,-0.048
6.329e-07,-0.04
6.337e-07,-0.04
6.345e-07,-0.032
6.353e-07,-0.016
6.361e-07,-0.016
6.369e-07,-0.016
6.377e-07,-0.024
6.385e-07,-0.032
6.393e-07,-0.032
6.401e-07,-0.048
6.409e-07,-0.048
6.417e-07,-0.04
6.425e-07,-0.032
6.433e-07,-0.024
6.441e-07,-0.024
6.449e-07,-0.024
6.457e-07,-0.032
6.465e-07,-0.032
6.473e-07,-0.04
6.481e-07,-0.064
6.489e-07,-0.064
6.497e-07,-0.072
6.505e-07,-0.064
6.513e-07,-0.056
6.521e-07,-0.04
6.529e-07,-0.032
6.537e-07,-0.024
6.545e-07,-0.024
6.553e-07,-0.024
6.561e-07,-0.024
6.569e-07,-0.04
6.577e-07,-0.04
6.585e-07,-0.048
6.593e-07,-0.048
6.601e-07,-0.048
6.609e-07,-0.048
6.617e-07,-0.032
6.625e-07,-0.024
6.633e-07,-0.032
6.641e-07,-0.032
6.649e-07,-0.032
6.657e-07,-0.032
6.665e-07,-0.04
6.673e-07,-0.032
6.681e-07,-0.032
6.689e-07,-0.024
6.697e-07,-0.024
6.705e-07,-0.024

